star,lat,long,order_day,checkin_day,size,orientation,bed,attribute_number,max_guest_number,have_breakfast,cancel_ticket,price
2,11.970116577863,108.44209798343,25-11-2018,26-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,179000
2,11.970116577863,108.44209798343,25-11-2018,26-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,179000
2,11.970116577863,108.44209798343,25-11-2018,27-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,179000
2,11.970116577863,108.44209798343,25-11-2018,27-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,179000
2,11.970116577863,108.44209798343,25-11-2018,28-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,179000
2,11.970116577863,108.44209798343,25-11-2018,28-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,179000
2,11.970116577863,108.44209798343,25-11-2018,29-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,179000
2,11.970116577863,108.44209798343,25-11-2018,29-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,179000
2,11.970116577863,108.44209798343,25-11-2018,30-11-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,357000
2,11.970116577863,108.44209798343,25-11-2018,30-11-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,357000
2,11.970116577863,108.44209798343,25-11-2018,01-12-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,357000
2,11.970116577863,108.44209798343,25-11-2018,01-12-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,357000
2,11.970116577863,108.44209798343,25-11-2018,02-12-2018,15,Hướng vườn,1 Giường đôi,11,2,0,1,357000
2,11.970116577863,108.44209798343,25-11-2018,02-12-2018,20,Hướng vườn,2 Giường đôi,11,4,0,1,357000
2,11.970116577863,108.44209798343,06-01-2019,07-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,205000
2,11.970116577863,108.44209798343,06-01-2019,07-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,205000
2,11.970116577863,108.44209798343,07-01-2019,08-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,205000
2,11.970116577863,108.44209798343,07-01-2019,08-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,205000
2,11.970116577863,108.44209798343,07-01-2019,09-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,205000
2,11.970116577863,108.44209798343,07-01-2019,09-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,205000
2,11.970116577863,108.44209798343,07-01-2019,10-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,205000
2,11.970116577863,108.44209798343,07-01-2019,10-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,205000
2,11.970116577863,108.44209798343,07-01-2019,11-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,409000
2,11.970116577863,108.44209798343,07-01-2019,11-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,409000
2,11.970116577863,108.44209798343,07-01-2019,12-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,409000
2,11.970116577863,108.44209798343,07-01-2019,12-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,409000
2,11.970116577863,108.44209798343,07-01-2019,13-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,409000
2,11.970116577863,108.44209798343,07-01-2019,13-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,409000
2,11.970116577863,108.44209798343,07-01-2019,14-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,205000
2,11.970116577863,108.44209798343,07-01-2019,14-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,205000
1,11.959463000000001,108.44343899999998,25-11-2018,26-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,26-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
