star,lat,long,order_day,checkin_day,size,orientation,bed,attribute_number,max_guest_number,have_breakfast,cancel_ticket,price
2,11.970116577863,108.44209798343,11-01-2019,12-01-2019,15,Hướng vườn,1 Giường đôi,11,2,0,1,409000
2,11.970116577863,108.44209798343,11-01-2019,12-01-2019,20,Hướng vườn,2 Giường đôi,11,4,0,1,809000
2,11.941378785408,108.43239676778,11-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,11-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,492000
2,11.941378785408,108.43239676778,11-01-2019,13-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,11-01-2019,13-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,492000
2,11.941378785408,108.43239676778,11-01-2019,14-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,11-01-2019,14-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,492000
2,11.941378785408,108.43239676778,11-01-2019,15-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,11-01-2019,15-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,492000
2,11.941378785408,108.43239676778,11-01-2019,16-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,11-01-2019,16-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,492000
2,11.941378785408,108.43239676778,11-01-2019,17-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,11-01-2019,17-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,492000
2,11.941378785408,108.43239676778,11-01-2019,18-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,11-01-2019,18-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,492000
1,11.948509,108.44111799999999,11-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,11-01-2019,12-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,470000
